NOM ESTACIO,DATA,MAGNITUD,CONTAMINANT,UNITATS,TIPUS ESTACIO,AREA URBANA,MUNICIPI,NOM COMARCA,ALTITUD,LATITUD,LONGITUD,MITJANA_DIARIA,MAXIM_DIARI,ICQA
Manlleu,2023-11-30,8,NO2,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,16.75,20.0,A
Manlleu,2023-11-30,14,O3,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,3.75,7.0,A
Manlleu,2023-11-30,9,PM2.5,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,32.5,60.0,D
Vic,2023-11-30,14,O3,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,33.25,44.0,A
Vic,2023-11-30,10,PM10,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,8.5,11.0,A
Tona (Zona Esportiva),2023-11-30,8,NO2,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,5.0,5.0,A
Manlleu,2023-11-30,10,PM10,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,37.75,66.0,B
Vic,2023-11-30,8,NO2,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,12.0,20.0,A
Tona (Zona Esportiva),2023-11-30,14,O3,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,36.0,46.0,A
Tona (Zona Esportiva),2023-11-29,14,O3,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,34.95238095238095,55.0,A
Tona (Zona Esportiva),2023-11-29,8,NO2,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,11.909090909090908,33.0,A
Vic,2023-11-29,10,PM10,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,19.416666666666668,44.0,A
Vic,2023-11-29,14,O3,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,7.375,32.0,A
Vic,2023-11-29,8,NO2,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,31.125,49.0,B
Manlleu,2023-11-29,10,PM10,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,54.125,92.0,D
Manlleu,2023-11-29,14,O3,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,2.9583333333333335,10.0,A
Manlleu,2023-11-29,8,NO2,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,30.5,42.0,B
Manlleu,2023-11-29,9,PM2.5,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,33.916666666666664,82.0,D
Manlleu,2023-11-28,10,PM10,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,97.33333333333333,787.0,D
Manlleu,2023-11-28,14,O3,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,9.791666666666666,45.0,A
Manlleu,2023-11-28,8,NO2,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,26.416666666666668,64.0,B
Manlleu,2023-11-28,9,PM2.5,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,37.083333333333336,144.0,D
Tona (Zona Esportiva),2023-11-28,8,NO2,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,14.0,25.0,A
Vic,2023-11-28,10,PM10,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,28.0,51.0,B
Tona (Zona Esportiva),2023-11-28,14,O3,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,21.166666666666668,42.0,A
Vic,2023-11-28,14,O3,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,9.428571428571429,52.0,A
Vic,2023-11-28,8,NO2,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,26.0,52.0,B
Manlleu,2023-11-27,14,O3,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,12.0,38.0,A
Vic,2023-11-27,14,O3,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,18.833333333333332,71.0,A
Vic,2023-11-27,10,PM10,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,21.416666666666668,38.0,B
Manlleu,2023-11-27,9,PM2.5,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,27.38095238095238,42.0,D
Manlleu,2023-11-27,8,NO2,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,25.31578947368421,42.0,B
Manlleu,2023-11-27,10,PM10,µg/m3,background,suburban,Manlleu,Osona,460,42.003307,2.2872992,45.666666666666664,74.0,C
Vic,2023-11-27,8,NO2,µg/m3,background,suburban,Vic,Osona,498,41.93501,2.2400014,22.291666666666668,36.0,A
Tona (Zona Esportiva),2023-11-27,14,O3,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,25.61904761904762,62.0,A
Tona (Zona Esportiva),2023-11-27,8,NO2,µg/m3,background,rural,Tona,Osona,620,41.84666,2.2175014,10.333333333333334,23.0,A
